0	dummy.txt, iliad.txt, jane.txt
1	dummy.txt, iliad.txt, jane.txt, moby.txt, shakespeare.txt
10	iliad.txt, jane.txt, moby.txt, shakespeare.txt
100	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1000	shakespeare.txt
100000	iliad.txt, jane.txt, moby.txt
1000000	moby.txt
1000txt	shakespeare.txt
1000zip	shakespeare.txt
1004	iliad.txt, jane.txt, shakespeare.txt
1009	shakespeare.txt
101	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1012	shakespeare.txt
1016	shakespeare.txt
102	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1020	shakespeare.txt
1024	shakespeare.txt
1028	shakespeare.txt
103	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1033	shakespeare.txt
1036	shakespeare.txt
104	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1040	shakespeare.txt
1044	shakespeare.txt
10440	moby.txt
1049	shakespeare.txt
105	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1053	shakespeare.txt
1057	shakespeare.txt
1058	iliad.txt, jane.txt
106	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1060	shakespeare.txt
1065	shakespeare.txt
1069	shakespeare.txt
107	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1072	shakespeare.txt
1078	shakespeare.txt
108	iliad.txt, jane.txt, moby.txt, shakespeare.txt
10800	moby.txt
1081	shakespeare.txt
1085	shakespeare.txt
1088	shakespeare.txt
109	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1093	shakespeare.txt
1096	shakespeare.txt
11	iliad.txt, jane.txt, moby.txt, shakespeare.txt
110	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1100	iliad.txt, jane.txt, shakespeare.txt
1105	shakespeare.txt
1108	shakespeare.txt
111	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1112	shakespeare.txt
1116	shakespeare.txt
112	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1120	shakespeare.txt
1124	shakespeare.txt
1129	shakespeare.txt
113	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1132	shakespeare.txt
1136	shakespeare.txt
114	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1141	shakespeare.txt
1144	shakespeare.txt
1148	shakespeare.txt
115	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1152	shakespeare.txt
1156	shakespeare.txt
116	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1160	shakespeare.txt
1164	shakespeare.txt
1168	shakespeare.txt
117	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1172	shakespeare.txt
118	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1180	shakespeare.txt
1184	shakespeare.txt
1189	shakespeare.txt
119	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1192	shakespeare.txt
12	iliad.txt, jane.txt, moby.txt, shakespeare.txt
120	iliad.txt, jane.txt, moby.txt, shakespeare.txt
121	iliad.txt, jane.txt, moby.txt, shakespeare.txt
122	iliad.txt, jane.txt, moby.txt, shakespeare.txt
123	iliad.txt, jane.txt, moby.txt, shakespeare.txt
124	iliad.txt, jane.txt, moby.txt, shakespeare.txt
125	iliad.txt, jane.txt, moby.txt, shakespeare.txt
126	iliad.txt, jane.txt, moby.txt, shakespeare.txt
127	iliad.txt, jane.txt, moby.txt, shakespeare.txt
128	iliad.txt, jane.txt, moby.txt, shakespeare.txt
129	iliad.txt, jane.txt, moby.txt, shakespeare.txt
13	iliad.txt, jane.txt, moby.txt, shakespeare.txt
130	iliad.txt, jane.txt, moby.txt, shakespeare.txt
13000	moby.txt
131	iliad.txt, jane.txt, moby.txt, shakespeare.txt
132	iliad.txt, jane.txt, moby.txt, shakespeare.txt
133	iliad.txt, jane.txt, moby.txt, shakespeare.txt
134	iliad.txt, jane.txt, moby.txt, shakespeare.txt
135	iliad.txt, jane.txt, moby.txt, shakespeare.txt
135000	iliad.txt, jane.txt
136	iliad.txt, jane.txt, shakespeare.txt
137	iliad.txt, jane.txt, shakespeare.txt
138	iliad.txt, jane.txt, shakespeare.txt
138grote	iliad.txt, jane.txt
139	iliad.txt, jane.txt, shakespeare.txt
14	iliad.txt, jane.txt, moby.txt, shakespeare.txt
140	iliad.txt, jane.txt, shakespeare.txt
141	iliad.txt, jane.txt, shakespeare.txt
142	iliad.txt, jane.txt, shakespeare.txt
143	iliad.txt, jane.txt, shakespeare.txt
144	iliad.txt, jane.txt, shakespeare.txt
144000	moby.txt
145	iliad.txt, jane.txt, shakespeare.txt
146	iliad.txt, jane.txt, shakespeare.txt
147	iliad.txt, jane.txt, shakespeare.txt
148	iliad.txt, jane.txt, shakespeare.txt
149	iliad.txt, jane.txt, shakespeare.txt
1492	moby.txt
15	iliad.txt, jane.txt, moby.txt, shakespeare.txt
150	iliad.txt, jane.txt, moby.txt, shakespeare.txt
1500	iliad.txt, jane.txt, moby.txt, shakespeare.txt
150000	moby.txt
151	iliad.txt, jane.txt, shakespeare.txt
152	iliad.txt, jane.txt, shakespeare.txt
153	iliad.txt, jane.txt, shakespeare.txt
154	iliad.txt, jane.txt, shakespeare.txt
155	iliad.txt, jane.txt
156	iliad.txt, jane.txt, shakespeare.txt
157	iliad.txt, jane.txt
158	iliad.txt, jane.txt
159	iliad.txt, jane.txt
1591	shakespeare.txt
1592	shakespeare.txt
1593	shakespeare.txt
1594	shakespeare.txt
1595	shakespeare.txt
1596	shakespeare.txt
1597	shakespeare.txt
1599	shakespeare.txt
15th	moby.txt
16	iliad.txt, jane.txt, moby.txt, shakespeare.txt
160	iliad.txt, jane.txt, shakespeare.txt
1601	shakespeare.txt
1602	shakespeare.txt
1604	shakespeare.txt
1605	shakespeare.txt
1606	shakespeare.txt
1607	shakespeare.txt
1608	shakespeare.txt
1609	shakespeare.txt
161	iliad.txt, jane.txt
1611	shakespeare.txt
162	iliad.txt, jane.txt
163	iliad.txt, jane.txt
1634	shakespeare.txt
164	iliad.txt, jane.txt, shakespeare.txt
165	iliad.txt, jane.txt
1652	moby.txt
166	iliad.txt, jane.txt
1668	moby.txt
167	iliad.txt, jane.txt
1671	moby.txt
168	iliad.txt, jane.txt, shakespeare.txt
169	iliad.txt, jane.txt
1690	moby.txt
1695	moby.txt
16th	moby.txt
